,country,year,Life Ladder,Log GDP per capita,Social support,Healthy life expectancy at birth,Freedom to make life choices,Generosity,Perceptions of corruption,Positive affect,Negative affect,Confidence in national government,Democratic Quality,Delivery Quality,suicides_no,population,rate,per100k,GPI
0,Argentina,2011,6.775805472999999,9.884780884,0.889073491,67.48000336,0.815802038,-0.170261562,0.754645705,0.840047896,0.23185515399999998,0.607537687,0.251967728,-0.44232934700000004,2912.0,38015739.0,7.659985249793514e-05,7.659985249793514,1.852
1,Argentina,2012,6.468387127000001,9.863960266,0.901776373,67.66000366,0.747498393,-0.143875062,0.816546202,0.8565163020000001,0.272219121,0.41825547799999996,0.19912523,-0.572653413,3248.0,38441778.0,8.449140932034933e-05,8.449140932034933,1.763
2,Argentina,2013,6.582260132,9.877256393,0.9098742009999999,67.83999634,0.737250388,-0.126476035,0.822900295,0.8424785140000001,0.25420472,0.433749259,0.171151072,-0.593692005,2987.0,38859125.0,7.686740244408489e-05,7.6867402444084885,1.907
3,Argentina,2014,6.671114445,9.841482162,0.917870402,68.01999664,0.7450577620000001,-0.16044876,0.8541916009999999,0.857123733,0.237912863,0.408961415,0.17009933300000002,-0.665261686,3231.0,39276555.0,8.226281556516349e-05,8.22628155651635,1.789
4,Argentina,2015,6.69713068,9.858328819,0.926492274,68.19999695,0.8812236790000001,-0.170244098,0.8509061929999999,0.858544469,0.305354923,0.378169239,0.21326923399999997,-0.576050639,3073.0,39699624.0,7.740627467907504e-05,7.740627467907504,1.865
5,Armenia,2011,4.2604913710000005,8.856818199,0.705108464,65.36000061,0.464524716,-0.211577132,0.874601007,0.47454935299999995,0.45907408,0.335884422,-0.377324402,-0.238400981,67.0,2670366.0,2.5090193628888326e-05,2.5090193628888326,2.26
6,Armenia,2012,4.319711685,8.924141883999999,0.6764464379999999,65.51999664,0.5018637779999999,-0.20153889100000003,0.8925443890000001,0.517862976,0.463855445,0.285362303,-0.20784822100000003,-0.17465871600000002,79.0,2814300.0,2.8070923497850264e-05,2.8070923497850266,2.238
7,Armenia,2013,4.277191162,8.952596664,0.723260045,65.68000031,0.504081845,-0.181962714,0.8997967840000001,0.562174141,0.449949831,0.260400474,-0.238822803,-0.138635218,67.0,2810664.0,2.383778352730885e-05,2.383778352730885,2.123
8,Armenia,2014,4.453083038,8.983579636,0.7387635109999999,65.83999634,0.506487131,-0.20509801800000002,0.920390487,0.5809598570000001,0.40398433799999994,0.214914635,-0.429609358,-0.21863260899999998,58.0,2803029.0,2.069190151082989e-05,2.069190151082989,2.097
9,Armenia,2015,4.34831953,9.011393547,0.7225510479999999,66.0,0.5510266420000001,-0.189388379,0.9014621970000001,0.594142795,0.43794772,0.17092786699999998,-0.394301742,-0.21014186699999998,74.0,2795335.0,2.6472676799024088e-05,2.647267679902409,2.028
10,Armenia,2016,4.325471878,9.010698318,0.709218323,66.30000305,0.610986948,-0.157248631,0.9214210509999999,0.593600273,0.437227815,0.18471303600000002,-0.620787561,-0.147838444,67.0,2784119.0,2.4065063310871412e-05,2.406506331087141,2.218
11,Australia,2011,7.405616283,10.64290237,0.9670292140000001,72.30000305,0.9445864559999999,0.360889763,0.381771743,0.8158602709999999,0.195323676,0.5307866929999999,1.1947155,1.8354439740000001,2392.0,20881910.0,0.0001145489086007937,11.45489086007937,1.455
12,Australia,2012,7.195585727999999,10.66322899,0.9445990320000001,72.40000153,0.935146272,0.265168518,0.368251741,0.810741782,0.214396909,0.420419186,1.248593807,1.79015696,2580.0,21238909.0,0.00012147516616790439,12.147516616790439,1.494
13,Australia,2013,7.364169121000001,10.67169762,0.9282051920000001,72.5,0.933379173,0.26027953600000003,0.43153902899999996,0.818835258,0.177142262,0.455871463,1.233743429,1.75117445,2608.0,21600180.0,0.00012073973457628593,12.073973457628593,1.4380000000000002
14,Australia,2014,7.288550377000001,10.68160057,0.92379874,72.59999847,0.9229322670000001,0.31003502,0.44202137,0.775209963,0.245304301,0.464676231,1.196954012,1.81184423,2891.0,21927587.0,0.00013184305231578832,13.184305231578831,1.414
15,Australia,2015,7.309060574,10.6901989,0.95186156,72.69999695,0.9218710059999999,0.323258132,0.35655438899999997,0.7900502090000001,0.209636971,0.47855684200000004,1.1202399729999999,1.765201688,3027.0,22240785.0,0.00013610131117224505,13.610131117224505,1.329
16,Austria,2011,7.470512867,10.70218182,0.944156826,71.54000092,0.9393556120000001,0.129719824,0.702721,0.7894708509999999,0.14523755,0.406920105,1.297982693,1.5584615469999998,1288.0,7995146.0,0.00016109774605742034,16.109774605742036,1.337
